"vendor_id","pickup_datetime","dropoff_datetime","passenger_count","trip_distance","pickup_longitude","pickup_latitude","store_and_fwd_flag","dropoff_longitude","dropoff_latitude","payment_type","fare_amount","mta_tax","tip_amount","tolls_amount","total_amount","imp_surcharge","extra","rate_code"
"CMT","2014-11-23T20:31:29.000","2014-11-23T20:31:29.000","3","0","0","0","N","0","0","CSH","3","0.5","0","0","4","0.5",,"1"
"CMT","2014-04-16T13:45:06.000","2014-04-16T14:00:21.000","1","2.3999999999999999","-73.990026999999998","40.757196999999998","N","-73.958483999999999","40.765540000000001","CSH","12","0.5","0","0","12.5","0",,"1"
"CMT","2014-02-09T22:43:54.000","2014-02-09T23:06:21.000","2","9.3000000000000007","-73.870607000000007","40.773682000000001","N","-73.971969999999999","40.784683000000001","CRD","27.5","0.5","6.7599999999999998","5.3300000000000001","40.590000000000003","0.5",,"1"
"CMT","2014-10-27T23:15:23.000","2014-10-27T23:23:54.000","1","2.1000000000000001","-73.983610999999996","40.769134999999999","N","-73.974266999999998","40.748187999999999","CRD","8.5","0.5","2.3700000000000001","0","11.869999999999999","0.5",,"1"
"VTS","2014-09-14T01:32:00.000","2014-09-14T01:44:00.000","1","3.3599999999999999","-73.949010000000001","40.754086999999998",,"-73.960682000000006","40.712792","CRD","12.5","0.5","2.6000000000000001","0","16.100000000000001","0.5",,"1"
"VTS","2014-02-21T22:52:00.000","2014-02-21T23:01:00.000","1","2.4100000000000001","-73.991533000000004","40.715556999999997",,"-73.960764999999995","40.714267","CSH","9.5","0.5","0","0","10.5","0.5",,"1"
"CMT","2014-12-29T06:45:07.000","2014-12-29T06:57:42.000","1","3","-73.983400000000003","40.730119999999999","N","-73.986400000000003","40.76211","CRD","11.5","0.5","1","0","13","0",,"1"
"CMT","2014-02-06T20:34:19.000","2014-02-06T20:42:27.000","1","2.2999999999999998","-73.997654999999995","40.721187999999998","N","-73.959682000000001","40.710732","CRD","9.5","0.5","2.1000000000000001","0","12.6","0.5",,"1"
"CMT","2014-12-08T14:06:50.000","2014-12-08T14:27:54.000","1","8.5999999999999996","-73.959190000000007","40.771054999999997","N","-73.872401999999994","40.774386999999997","CRD","26.5","0.5","8.0500000000000007","5.3300000000000001","40.380000000000003","0",,"1"
"VTS","2014-01-05T13:30:00.000","2014-01-05T13:42:00.000","1","0.67000000000000004","-73.981506999999993","40.765766999999997",,"-73.987466999999995","40.758611999999999","CSH","8.5","0.5","0","0","9","0",,"1"
"VTS","2014-12-11T11:05:00.000","2014-12-11T11:20:00.000","1","2.1400000000000001","-73.971571999999995","40.744194999999998",,"-73.95326","40.766669999999998","CSH","11.5","0.5","0","0","12","0",,"1"
"CMT","2014-11-02T22:27:54.000","2014-11-02T22:32:58.000","2","0.59999999999999998","-73.988337999999999","40.737827000000003","N","-73.985208999999998","40.732171000000001","CRD","5.5","0.5","1.3","0","7.7999999999999998","0.5",,"1"
"CMT","2014-03-04T19:07:12.000","2014-03-04T19:29:12.000","1","5","-73.960530000000006","40.766421999999999","N","-73.961781999999999","40.719436000000002","CRD","19.5","0.5","4.2000000000000002","0","25.199999999999999","1",,"1"
"CMT","2014-10-23T05:55:49.000","2014-10-23T06:10:55.000","1","3.6000000000000001","-73.993942000000004","40.751130000000003","N","-74.015277999999995","40.711379999999998","CRD","14","0.5","3","0","18","0.5",,"1"
"VTS","2014-03-22T20:23:00.000","2014-03-22T20:31:00.000","1","2.0800000000000001","-73.973344999999995","40.759011999999998",,"-73.978367000000006","40.778036999999998","CRD","9","0.5","1.8999999999999999","0","11.9","0.5",,"1"
"VTS","2014-07-03T16:37:00.000","2014-07-03T16:54:00.000","1","2.48","-73.975579999999994","40.748997000000003",,"-73.999655000000004","40.732706999999998","CSH","12.5","0.5","0","0","14","1",,"1"
"VTS","2014-04-16T19:22:00.000","2014-04-16T19:30:00.000","6","1.3600000000000001","-73.974656999999993","40.761937000000003",,"-73.979882000000003","40.746246999999997","CRD","7.5","0.5","1","0","10","1",,"1"
"VTS","2014-07-07T07:49:00.000","2014-07-07T07:55:00.000","2","1.3899999999999999","-73.991178000000005","40.750602000000001",,"-73.988956999999999","40.735647","CRD","7","0.5","1.3999999999999999","0","8.9000000000000004","0",,"1"
"VTS","2014-03-28T23:34:00.000","2014-03-28T23:44:00.000","1","2.1699999999999999","-73.988685000000004","40.748396999999997",,"-73.982377","40.774987000000003","CRD","9.5","0.5","2","0","12.5","0.5",,"1"
"CMT","2014-04-30T18:17:31.000","2014-04-30T18:23:24.000","2","0.80000000000000004","-73.970202","40.796919000000003","N","-73.978273000000002","40.788392000000002","CSH","6","0.5","0","0","7.5","1",,"1"
"CMT","2014-06-13T10:07:36.000","2014-06-13T10:54:43.000","2","17.199999999999999","-73.979707000000005","40.755051000000002","N","-73.783570999999995","40.643650999999998","CSH","52","0.5","0","0","52.5","0",,"2"
"CMT","2014-09-11T22:46:19.000","2014-09-11T22:50:53.000","1","1.1000000000000001","-73.999335000000002","40.733896999999999","N","-73.994573000000003","40.724460000000001","CRD","5.5","0.5","1","0","7.5","0.5",,"1"
"VTS","2014-08-29T20:09:00.000","2014-08-29T20:20:00.000","1","1.6799999999999999","-73.963108000000005","40.778117000000002",,"-73.979048000000006","40.764057000000001","CRD","9.5","0.5","1.5","0","12","0.5",,"1"
